state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
CAF,TCD,1,0,0,0,,0,"8.2295388,18.7130684",0,0,0,0,0,0,0
CAN,USA,3,0,0,0,,0,"45.01161,-73.4544387",2,0,0,0,0,0,0
CHE,AUT,3,0,0,0,,0,"47.4313445,9.6422472",2,0,0,0,0,0,0
CHE,DEU,3,0,0,0,,0,"47.794509,8.5874678",2,0,0,0,0,0,0
CHE,FRA,3,0,0,0,,0,"46.147907,6.093807",2,0,0,0,0,0,0
CHE,ITA,3,0,0,0,,0,"45.837465,9.0344043",2,0,0,0,0,0,0
CHE,LIE,2,0,0,0,,0,"47.1683719,9.4892949",0,0,0,0,0,0,0
CHL,ARG,3,0,0,0,,2,"-32.827577,-70.0928862",1,0,0,0,0,0,0
CHL,BOL,4,0,0,1,yes (landmines),2,"-19.275744,-68.6230063",2,0,0,0,0,0,0
CHL,PER,4,0,0,1,yes (landmines),2,"-18.315218,-70.3153958",2,0,0,0,0,0,0
CHN,AFG,5,1,0,1,barbed-wired fence; trenches,,"37.1570577,74.6568435",1,0,0,0,0,0,0
CHN,BTN,1,0,0,0,,,"27.503926,89.001944",0,0,0,0,0,0,0
CHN,IND,1,0,0,0,,,"27.3866584,88.8304521",0,0,0,0,0,0,0
CHN,KAZ,5,1,0,0,,,"44.2118741,80.4035425",2,0,0,0,0,0,1
CHN,KGZ,5,1,0,0,rolled concertina-wire; barbed-wire fence,,"39.7124303,73.9615324",1,0,0,0,0,0,0
CHN,LAO,3,0,0,0,,,"21.18586,101.6820939",2,0,0,0,0,0,0
CHN,MMR,3,0,0,0,,,"23.986615, 97.872001",2,0,0,0,0,0,0
CHN,MNG,5,1,0,0,barbed-wire fence,,"43.6879154,111.948012",2,0,0,0,0,0,1
CHN,NPL,3,0,0,0,,,"27.9729852,85.9639118",1,0,0,0,0,0,0
CHN,PAK,3,0,0,0,,,"36.8477984,75.4619637",2,0,0,0,0,0,0
CHN,PRK,5,1,0,0,4m-high barbed wired fence,,"40.1216919,124.3811669",2,1,1,1,1,1,1
CHN,RUS,5,1,0,0,,,"49.6277385,117.3717138",2,0,0,0,0,0,1
CHN,TJK,5,1,1,1,barbed-wired fence; berms,,"38.1940898,74.9231043",1,0,0,0,0,0,0
CHN,VNM,4,1,0,0,barbed-wired fence,0,"21.979576,106.714834",2,0,0,0,0,0,0
CIV,BFA,3,0,0,0,,0,"9.983698,-5.1619927",1,0,0,0,0,0,0
CIV,GHA,3,0,0,0,,0,"5.2900123,-2.7878159",1,0,0,0,0,0,0
CIV,GIN,3,0,0,0,,0,"7.6099669,-8.3124629",1,0,0,0,0,0,0
CIV,LBR,3,0,0,0,,0,"7.252961,-8.3631095",1,0,0,0,0,0,0
CIV,MLI,3,0,0,0,,0,"10.4606934,-5.6453397",1,0,0,0,0,0,0
CMR,CAF,3,0,0,0,,0,"5.9032069,14.5522785",1,0,0,0,0,0,0
CMR,COG,1,0,0,0,,0,"1.6594957,16.0375334",0,0,0,0,0,0,0
CMR,GAB,3,0,0,0,,0,"2.1751619,11.3584019",1,0,0,0,0,0,0
CMR,GNQ,3,0,0,0,,0,"2.1727994,11.3363631",1,0,0,0,0,0,0
CMR,NGA,4,0,0,1,trench,0,"5.8106034,8.8491316",1,0,0,0,0,0,0
CMR,TCD,3,0,0,0,,0,"12.0675544,15.0518139",1,0,0,0,0,0,0
COD,AGO,3,0,0,0,,1,"-10.6971481,22.3254672",1,0,0,0,0,0,0
COD,BDI,3,0,0,0,,1,"-3.339146,29.2116945",1,0,0,0,0,0,0
COD,CAF,1,0,0,0,,1,"4.3647484,18.5977043",0,0,0,0,0,0,0
COD,COG,3,0,0,0,,1,"-4.2972444,15.3198371",2,0,0,0,0,0,0
COD,RWA,3,0,0,0,,1,"-1.6966345,29.2441349",2,0,0,0,0,0,0
COD,SSD,1,0,0,0,,1,,0,0,0,0,0,0,0
COD,UGA,3,0,0,0,,1,"2.376284,31.0289667",1,0,0,0,0,0,0
COD,ZMB,3,0,0,0,,1,"-12.263867,27.795773",2,0,0,0,0,0,0
COG,AGO,3,0,0,0,,0,"-4.9889908,12.0571728",2,0,0,0,0,0,0
